codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO000251,Logitech,Mouse,1,25.95,6.50,
MOLO000192,Logitech,Mouse,2,19.95,5.00,
CAHA000251,Hashtag,Camisa,1,25.00,11.00,
CAHA000252,Hashtag,Camisa,2,25.00,11.00,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.40,
BOHA000251,Hashtag,Bone,1,25.00,11.00,
BOHA000252,Hashtag,Bone,2,25.00,11.00,
CAHA000273,Hashtag,Camisa,3,27.50,12.40,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.50,12.40,
CAHA000275,Hashtag,Camisa,5,27.50,12.40,
TELG000821,LG,Televisao,1,820.00,172.20,
TELG000252,LG,Televisao,2,250.00,62.50,
TELG000373,LG,Televisao,3,378.00,83.20,
TELG000524,LG,Televisao,4,520.00,145.60,
TESA000125,Samsung,Televisao,5,1260.00,378.00,
TESA000346,Samsung,Televisao,6,340.00,71.40,
TESA000747,Samsung,Televisao,7,740.00,214.60,
TESA000108,Samsung,Televisao,8,10000.00,3000.00,
TESA000729,Samsung,Televisao,9,720.00,201.60,
TESA0002010,Samsung,Televisao,10,2000.00,440.00,
TEAO0002511,AOC,Televisao,11,250.00,62.50,
TEAO0003612,AOC,Televisao,12,360.00,97.20,
TETO0006413,Toshiba,Televisao,13,640.00,185.60,
TETO0008014,Toshiba,Televisao,14,800.00,192.00,
TETO0006015,Toshiba,Televisao,15,600.00,144.00,
TESE0005016,SEMP,Televisao,16,500.00,125.00,
TESE0003817,SEMP,Televisao,17,380.00,91.20,
TESE0005018,SEMP,Televisao,18,500.00,140.00,
TEPH0004019,Philco,Televisao,19,400.00,120.00,
TEPH0002720,Philco,Televisao,20,279.80,56.00,
TETC0001521,TCL,Televisao,21,158.00,36.30,
TETC0002222,TCL,Televisao,22,220.00,59.40,
REGA000441,Garmin,Relogio,1,440.00,96.80,
REGA000722,Garmin,Relogio,2,720.00,187.20,
REXI000463,Xiaomi,Relogio,3,46.40,11.60,
REXI000744,Xiaomi,Relogio,4,74.00,15.50,
REXI000365,Xiaomi,Relogio,5,36.00,7.90,
REXI000116,Xiaomi,Relogio,6,114.00,23.90,
RESA000287,Samsung,Relogio,7,280.00,72.80,
RESA000298,Samsung,Relogio,8,290.00,72.50,
RESA000389,Samsung,Relogio,9,380.00,110.20,
RESA0003210,Samsung,Relogio,10,320.00,83.20,
CEAP000101,Apple,Celular,1,1099.00,329.70,
CEAP000112,Apple,Celular,2,1199.00,287.80,
CEAP000133,Apple,Celular,3,1399.00,377.70,
CEAP000154,Apple,Celular,4,1599.00,367.80,
CEAP000995,Apple,Celular,5,999.00,269.70,
CEAP000106,Apple,Celular,6,1099.00,329.70,
CEAP000127,Apple,Celular,7,1299.00,298.80,
CEAP000148,Apple,Celular,8,1499.00,329.80,
CEAP000799,Apple,Celular,9,799.00,215.70,
CEAP0008910,Apple,Celular,10,899.00,197.80,
CEAP0001011,Apple,Celular,11,1099.00,329.70,
CEAP0006912,Apple,Celular,12,699.00,167.80,
CEAP0007913,Apple,Celular,13,799.00,215.70,
CEAP0009914,Apple,Celular,14,999.00,269.70,
CEAP0004215,Apple,Celular,15,429.00,115.80,
CEAP0004716,Apple,Celular,16,479.00,138.90,
CEAP0005717,Apple,Celular,17,579.00,115.80,
CEAP0009418,Apple,Celular,18,949.00,256.20,
CEAP0001019,Apple,Celular,19,1049.00,304.20,
CEAP0001220,Apple,Celular,20,1249.00,362.20,
CEAP0001421,Apple,Celular,21,1449.00,347.80,
CEAP0008422,Apple,Celular,22,849.00,178.30,
CEAP0009423,Apple,Celular,23,949.00,256.20,
CEAP0001124,Apple,Celular,24,1149.00,252.80,
CEAP0001325,Apple,Celular,25,1349.00,296.80,
CEAP0006426,Apple,Celular,26,649.00,181.70,
CEAP0007427,Apple,Celular,27,749.00,157.30,
CEAP0009428,Apple,Celular,28,949.00,256.20,
CEAP0005429,Apple,Celular,29,549.00,115.30,
CEAP0006430,Apple,Celular,30,649.00,181.70,
CEAP0008431,Apple,Celular,31,849.00,178.30,
CEAP0005932,Apple,Celular,32,599.00,137.80,
CEAP0006933,Apple,Celular,33,699.00,181.70,
CEAP0005434,Apple,Celular,34,549.00,120.80,
CEAP0006435,Apple,Celular,35,649.00,142.80,
CEAP0004436,Apple,Celular,36,449.00,103.30,
CEAP0004937,Apple,Celular,37,499.00,129.70,
CEAP0004938,Apple,Celular,38,499.00,124.80,
CEAP0005439,Apple,Celular,39,549.00,142.70,
CESA0002040,Samsung,Celular,40,200.00,48.00
